area_type,area_name,2010,2020,population_change,population_change_perc
Town,Palm Tree town,,32954,,
Town,Vernon town,5408,8318,2910,0.5381
Town,Shelter Island town,2392,3253,861,0.3599
Town,East Hampton town,21457,28385,6928,0.3229
Town,Watertown town,4470,5913,1443,0.3228
Town,Perry town,4616,5832,1216,0.2634
Town,Florence town,1025,1284,259,0.2527
Town,Montague town,78,97,19,0.2436
Town,Ovid town,2311,2847,536,0.2319
Town,Southampton town,56790,69036,12246,0.2156
Town,Ballston town,9776,11831,2055,0.2102
Town,Farmington town,11825,14170,2345,0.1983
Town,Halfmoon town,21535,25662,4127,0.1916
Town,Ramapo town,126595,148919,22324,0.1763
Town,Le Ray town,21782,25574,3792,0.1741
Town,Root town,1715,2013,298,0.1738
Town,Dickinson town,823,965,142,0.1725
Town,Malta town,14765,17130,2365,0.1602
Town,Benson town,192,221,29,0.151
Town,Lake Pleasant town,781,897,116,0.1485
Town,Schroon town,1654,1880,226,0.1366
Town,Centerville town,822,929,107,0.1302
Town,Green Island town,2620,2934,314,0.1198
Town,Ithaca town,19930,22283,2353,0.1181
Town,Long Lake town,711,791,80,0.1125
Town,Wallkill town,27426,30486,3060,0.1116
Town,French Creek town,906,1007,101,0.1115
Town,West Bloomfield town,2466,2740,274,0.1111
Town,Victor town,14275,15860,1585,0.111
Town,Hunter town,2732,3035,303,0.1109
Town,West Turin town,1524,1692,168,0.1102
Town,Canandaigua town,10020,11109,1089,0.1087
Town,Henrietta town,42581,47096,4515,0.106
Town,Prattsville town,700,774,74,0.1057
Town,Fallsburg town,12870,14192,1322,0.1027
Town,Allen town,448,494,46,0.1027
Town,New Windsor town,25244,27805,2561,0.1014
Town,North Greenbush town,12075,13292,1217,0.1008
Town,Moreau town,14728,16202,1474,0.1001
Town,Pendleton town,6397,7035,638,0.0997
Town,West Union town,312,343,31,0.0994
Town,Harrisburg town,437,480,43,0.0984
Town,Edinburg town,1214,1333,119,0.098
Town,Fishkill town,22107,24226,2119,0.0959
Town,New Lebanon town,2305,2514,209,0.0907
Town,Van Buren town,13185,14367,1182,0.0896
Town,Mamaroneck town,29156,31758,2602,0.0892
Town,Stillwater town,8287,9022,735,0.0887
Town,Brandon town,577,628,51,0.0884
Town,Penfield town,36242,39438,3196,0.0882
Town,Lancaster town,41604,45106,3502,0.0842
Town,Thompson town,15308,16550,1242,0.0811
Town,Southold town,21968,23732,1764,0.0803
Town,Rye town,45928,49613,3685,0.0802
Town,Greenburgh town,88400,95397,6997,0.0792
Town,Woodbury town,11353,12197,844,0.0743
Town,Clarence town,30673,32950,2277,0.0742
Town,Greenport town,4165,4473,308,0.0739
Town,Wilton town,16173,17361,1188,0.0735
Town,Newburgh town,29801,31985,2184,0.0733
Town,Riverhead town,33506,35902,2396,0.0715
Town,Eastchester town,32363,34641,2278,0.0704
Town,Morehouse town,86,92,6,0.0698
Town,Niskayuna town,21781,23278,1497,0.0687
Town,Woodstock town,5884,6287,403,0.0685
Town,Haverstraw town,36634,39087,2453,0.067
Town,Inlet town,333,355,22,0.0661
Town,Goshen town,13687,14571,884,0.0646
Town,Ossining town,37674,40061,2387,0.0634
Town,Webster town,42641,45327,2686,0.063
Town,Osceola town,229,243,14,0.0611
Town,Lysander town,21759,23074,1315,0.0604
Town,Sterling town,3040,3221,181,0.0595
Town,Decatur town,353,374,21,0.0595
Town,Amherst town,122366,129595,7229,0.0591
Town,Horicon town,1389,1471,82,0.059
Town,Canton town,10995,11638,643,0.0585
Town,Pamelia town,3160,3343,183,0.0579
Town,Henderson town,1360,1438,78,0.0574
Town,Ellenburg town,1743,1842,99,0.0568
Town,Hammond town,1191,1258,67,0.0563
Town,Esopus town,9041,9548,507,0.0561
Town,Chester town,11981,12646,665,0.0555
Town,Cochecton town,1372,1448,76,0.0554
Town,Hamburg town,56936,60085,3149,0.0553
Town,Geneva town,3291,3473,182,0.0553
Town,Pelham town,12396,13078,682,0.055
Town,Morristown town,1974,2082,108,0.0547
Town,Colton town,1451,1530,79,0.0544
Town,Somers town,20434,21541,1107,0.0542
Town,Brunswick town,11941,12581,640,0.0536
Town,Benton town,2836,2985,149,0.0525
Town,Lyme town,2185,2299,114,0.0522
Town,New Scotland town,8648,9096,448,0.0518
Town,Tuxedo town,3624,3811,187,0.0516
Town,North Hempstead town,226322,237639,11317,0.05
Town,Grand Island town,20374,21389,1015,0.0498
Town,Warsaw town,5064,5316,252,0.0498
Town,Kingston town,889,933,44,0.0495
Town,Poughkeepsie town,43341,45471,2130,0.0491
Town,Rotterdam town,29094,30523,1429,0.0491
Town,Hopewell town,3747,3931,184,0.0491
Town,Colonie town,81591,85590,3999,0.049
Town,Caroga town,1205,1264,59,0.049
Town,Camillus town,24167,25346,1179,0.0488
Town,Lansing town,11033,11565,532,0.0482
Town,Berkshire town,1412,1480,68,0.0482
Town,North Castle town,11841,12408,567,0.0479
Town,Clermont town,1965,2058,93,0.0473
Town,Charlton town,4133,4328,195,0.0472
Town,Mamakating town,12085,12655,570,0.0472
Town,Brasher town,2512,2627,115,0.0458
Town,Queensbury town,27901,29169,1268,0.0454
Town,Williamstown town,1277,1335,58,0.0454
Town,Vestal town,28043,29313,1270,0.0453
Town,Edmeston town,1826,1907,81,0.0444
Town,Hempstead town,759757,793409,33652,0.0443
Town,Guilderland town,35303,36848,1545,0.0438
Town,Blooming Grove town,18028,18811,783,0.0434
Town,Mansfield town,808,843,35,0.0433
Town,Wappinger town,27048,28216,1168,0.0432
Town,Willing town,1228,1281,53,0.0432
Town,New Castle town,17569,18311,742,0.0422
Town,North Hudson town,240,250,10,0.0417
Town,Manlius town,32370,33712,1342,0.0415
Town,Pittsford town,29405,30617,1212,0.0412
Town,Stockholm town,3665,3816,151,0.0412
Town,Bethlehem town,33656,35034,1378,0.0409
Town,Providence town,1995,2075,80,0.0401
Town,Clay town,58206,60527,2321,0.0399
Town,Bovina town,633,658,25,0.0395
Town,Parma town,15633,16217,584,0.0374
Town,Wawayanda town,7266,7534,268,0.0369
Town,Lapeer town,767,795,28,0.0365
Town,Marathon town,1967,2038,71,0.0361
Town,Clifton Park town,36705,38029,1324,0.0361
Town,Highlands town,12492,12939,447,0.0358
Town,Elma town,11317,11721,404,0.0357
Town,Keene town,1105,1144,39,0.0353
Town,Kiantone town,1350,1397,47,0.0348
Town,Duane town,174,180,6,0.0345
Town,Tompkins town,1247,1290,43,0.0345
Town,Elizabethtown town,1163,1203,40,0.0344
Town,Croghan town,3093,3197,104,0.0336
Town,Tyre town,981,1013,32,0.0326
Town,Clymer town,1698,1753,55,0.0324
Town,South Bristol town,1590,1641,51,0.0321
Town,Clarkstown town,84187,86855,2668,0.0317
Town,Montgomery town,22606,23322,716,0.0317
Town,Ontario town,10136,10446,310,0.0306
Town,Northumberland town,5087,5242,155,0.0305
Town,Greenfield town,7775,8004,229,0.0295
Town,New Bremen town,2706,2785,79,0.0292
Town,Minisink town,4490,4621,131,0.0292
Town,Galen town,4290,4415,125,0.0291
Town,Lisbon town,4102,4221,119,0.029
Town,New Paltz town,14003,14407,404,0.0289
Town,Wheatfield town,18117,18638,521,0.0288
Town,Liberty town,9885,10159,274,0.0277
Town,Oyster Bay town,293214,301332,8118,0.0277
Town,Danby town,3329,3421,92,0.0276
Town,North Salem town,5104,5243,139,0.0272
Town,Harrison town,27472,28218,746,0.0272
Town,Ulster town,12327,12660,333,0.027
Town,Gates town,28400,29167,767,0.027
Town,New Haven town,2856,2931,75,0.0263
Town,Busti town,7351,7543,192,0.0261
Town,Hopkinton town,1077,1105,28,0.026
Town,Wheatland town,4775,4897,122,0.0255
Town,De Peyster town,998,1023,25,0.0251
Town,Tyrone town,1597,1637,40,0.025
Town,Clarkson town,6736,6904,168,0.0249
Town,Lloyd town,10863,11133,270,0.0249
Town,Hope town,403,413,10,0.0248
Town,Saratoga town,5674,5808,134,0.0236
Town,Kingsbury town,12671,12968,297,0.0234
Town,East Fishkill town,29029,29707,678,0.0234
Town,Humphrey town,687,703,16,0.0233
Town,Cortlandt town,41592,42545,953,0.0229
Town,Bleecker town,533,545,12,0.0225
Town,Perinton town,46462,47479,1017,0.0219
Town,Orchard Park town,29054,29686,632,0.0218
Town,Babylon town,213603,218223,4620,0.0216
Town,Fabius town,1964,2006,42,0.0214
Town,Ogden town,19856,20270,414,0.0209
Town,Cornwall town,12646,12884,238,0.0188
Town,Cheektowaga town,88226,89877,1651,0.0187
Town,Rodman town,1176,1197,21,0.0179
Town,West Seneca town,44711,45500,789,0.0176
Town,Philipstown town,9662,9831,169,0.0175
Town,Chili town,28625,29123,498,0.0174
Town,Covington town,1232,1253,21,0.017
Town,East Greenbush town,16473,16748,275,0.0167
Town,Mount Pleasant town,43724,44436,712,0.0163
Town,Caroline town,3282,3334,52,0.0158
Town,Greenville town,4616,4689,73,0.0158
Town,La Grange town,15730,15975,245,0.0156
Town,Champion town,4494,4562,68,0.0151
