Name,State, Time in Office ,Party,1,2,3,4,5,6,7,8,9,10,11,12,13,14,end_year
Gov. Andrew Cuomo,New York, 2019 - 2021 ,Democratic,2019,2020,2021,,,,,,,,,,,,2021
Gov. Andrew Cuomo,New York, 2015 - 2018 ,Democratic,2015,2016,2017,2018,,,,,,,,,,,2018
Gov. Andrew Cuomo,New York, 2011 - 2014 ,Democratic,2011,2012,2013,2014,,,,,,,,,,,2014
Gov. David A. Paterson,New York, 2008 - 2011 ,Democratic,2008,2009,2010,,,,,,,,,,,,2011
Gov. Eliot Spitzer,New York, 2007 - 2008 ,Democratic,2007,2008,,,,,,,,,,,,,2008
Gov. George E. Pataki,New York, 1995 - 2007 ,Republican,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,,,2007
Gov. Mario Matthew Cuomo,New York, 1983 - 1995 ,Democratic,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,,,1995
Gov. Hugh Leo Carey,New York, 1975 - 1983 ,Democratic,1975,1976,1977,1978,1979,1980,1981,1982,,,,,,,1983
Gov. Malcolm Wilson,New York, 1973 - 1975 ,Republican,1973,1974,,,,,,,,,,,,,1975
Gov. Nelson Aldrich Rockefeller,New York, 1959 - 1973 ,Republican,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Gov. William Averell Harriman,New York, 1955 - 1959 ,Democratic,1955,1956,1957,1958,1959,,,,,,,,,,1959
Gov. Thomas Edmund Dewey,New York, 1943 - 1955 ,Republican,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,,,1955
Gov. Charles Poletti,New York, 1942 - 1943 ,Democratic,1942,1943,,,,,,,,,,,,,1943
Gov. Herbert Henry Lehman,New York, 1933 - 1942 ,Democratic,1933,1934,1935,1936,1937,1938,1939,1940,1941,,,,,,1942
Gov. Franklin Delano Roosevelt,New York, 1929 - 1933 ,Democratic,1929,1930,1931,1932,,,,,,,,,,,1933
Gov. Alfred Emanuel Smith,New York, 1923 - 1929 ,Democratic,1923,1924,1925,1926,1927,1928,,,,,,,,,1929
Gov. Alfred Emanuel Smith,New York, 1919 - 1921 ,Democratic,1919,1920,,,,,,,,,,,,,1921
Gov. Nathan Lewis Miller,New York, 1921 - 1923 ,Republican,1921,1922,,,,,,,,,,,,,1923
Gov. Charles Seymour Whitman,New York, 1915 - 1919 ,Republican,1915,1916,1917,1918,,,,,,,,,,,1919
Gov. Martin Henry Glynn,New York, 1913 - 1915 ,Democratic,1913,1914,,,,,,,,,,,,,1915
Gov. John Alden Dix,New York, 1911 - 1913 ,Democratic,1911,1912,,,,,,,,,,,,,1913
